TOKEN | POSITION 
{ | -1
int | -1
n1 | 0
; | -1
int | -1
n2 | 1
; | -1
int | -1
n3 | 2
; | -1
char | -1
n4 | 3
; | -1
read | 4
( | -1
n1 | 0
) | -1
; | -1
read | 4
( | -1
n2 | 1
) | -1
; | -1
read | 4
( | -1
n3 | 2
) | -1
; | -1
m | 5
:= | -1
n1 | 0
; | -1
n4 | 3
:= | -1
'a' | 6
; | -1
if | -1
( | -1
m | 5
< | -1
n2 | 1
) | -1
{ | -1
m | 5
:= | -1
n2 | 1
; | -1
} | -1
if | -1
( | -1
m | 5
< | -1
n3 | 2
) | -1
{ | -1
m | 5
:= | -1
n3 | 2
; | -1
} | -1
print | 7
( | -1
m | 5
) | -1
; | -1
print | 7
( | -1
"Hello" | 8
) | -1
} | -1
